trial,lr,hidden_dim,weight_decay,activation,best_val_acc
21,0.05,1024,0.0001,relu,0.6879012345679012
45,0.02,1024,0.0001,relu,0.6866666666666666
43,0.02,1024,0.0,relu,0.68
19,0.05,1024,0.0,relu,0.6797530864197531
17,0.05,512,0.001,relu,0.6795061728395062
41,0.02,512,0.001,relu,0.6758024691358024
47,0.02,1024,0.001,relu,0.6753086419753086
37,0.02,512,0.0,relu,0.674320987654321
23,0.05,1024,0.001,relu,0.6738271604938272
13,0.05,512,0.0,relu,0.6725925925925926
15,0.05,512,0.0001,relu,0.6720987654320988
39,0.02,512,0.0001,relu,0.668641975308642
11,0.05,256,0.001,relu,0.6676543209876543
7,0.05,256,0.0,relu,0.6669135802469136
31,0.02,256,0.0,relu,0.6661728395061728
35,0.02,256,0.001,relu,0.665679012345679
33,0.02,256,0.0001,relu,0.6649382716049382
65,0.01,512,0.001,relu,0.6637037037037037
71,0.01,1024,0.001,relu,0.6624691358024691
67,0.01,1024,0.0,relu,0.6622222222222223
27,0.02,128,0.0001,relu,0.6614814814814814
69,0.01,1024,0.0001,relu,0.6607407407407407
3,0.05,128,0.0001,relu,0.6582716049382716
61,0.01,512,0.0,relu,0.6582716049382716
25,0.02,128,0.0,relu,0.6570370370370371
63,0.01,512,0.0001,relu,0.6562962962962963
9,0.05,256,0.0001,relu,0.654320987654321
55,0.01,256,0.0,relu,0.654320987654321
29,0.02,128,0.001,relu,0.6525925925925926
59,0.01,256,0.001,relu,0.6523456790123456
1,0.05,128,0.0,relu,0.6506172839506172
5,0.05,128,0.001,relu,0.6454320987654321
22,0.05,1024,0.0001,tanh,0.6422222222222222
57,0.01,256,0.0001,relu,0.6414814814814814
24,0.05,1024,0.001,tanh,0.6412345679012346
20,0.05,1024,0.0,tanh,0.6382716049382716
16,0.05,512,0.0001,tanh,0.6377777777777778
53,0.01,128,0.001,relu,0.6355555555555555
18,0.05,512,0.001,tanh,0.6330864197530864
51,0.01,128,0.0001,relu,0.6328395061728395
46,0.02,1024,0.0001,tanh,0.6311111111111111
14,0.05,512,0.0,tanh,0.6298765432098765
49,0.01,128,0.0,relu,0.6296296296296297
12,0.05,256,0.001,tanh,0.6291358024691358
36,0.02,256,0.001,tanh,0.6259259259259259
10,0.05,256,0.0001,tanh,0.6249382716049383
40,0.02,512,0.0001,tanh,0.6244444444444445
48,0.02,1024,0.001,tanh,0.6237037037037036
42,0.02,512,0.001,tanh,0.6219753086419753
32,0.02,256,0.0,tanh,0.6217283950617284
44,0.02,1024,0.0,tanh,0.6212345679012345
6,0.05,128,0.001,tanh,0.6197530864197531
70,0.01,1024,0.0001,tanh,0.6197530864197531
2,0.05,128,0.0,tanh,0.6175308641975309
38,0.02,512,0.0,tanh,0.617037037037037
62,0.01,512,0.0,tanh,0.617037037037037
8,0.05,256,0.0,tanh,0.6160493827160494
34,0.02,256,0.0001,tanh,0.614567901234568
4,0.05,128,0.0001,tanh,0.614320987654321
30,0.02,128,0.001,tanh,0.6140740740740741
28,0.02,128,0.0001,tanh,0.6138271604938271
26,0.02,128,0.0,tanh,0.6135802469135803
66,0.01,512,0.001,tanh,0.6130864197530864
68,0.01,1024,0.0,tanh,0.6130864197530864
64,0.01,512,0.0001,tanh,0.6120987654320987
72,0.01,1024,0.001,tanh,0.6116049382716049
56,0.01,256,0.0,tanh,0.6111111111111112
60,0.01,256,0.001,tanh,0.6106172839506173
58,0.01,256,0.0001,tanh,0.6083950617283951
54,0.01,128,0.001,tanh,0.6071604938271605
50,0.01,128,0.0,tanh,0.6046913580246913
52,0.01,128,0.0001,tanh,0.5950617283950618
