trial,lr,hidden_dim,weight_decay,activation,best_val_acc
15,0.05,1024,0.0001,relu,0.5311111111111111
11,0.05,512,0.0001,relu,0.5251851851851852
13,0.05,1024,0.0,relu,0.5241975308641975
9,0.05,512,0.0,relu,0.5222222222222223
5,0.05,256,0.0,relu,0.5091358024691358
7,0.05,256,0.0001,relu,0.5081481481481481
29,0.02,1024,0.0,relu,0.497283950617284
8,0.05,256,0.0001,tanh,0.4955555555555556
4,0.05,128,0.0001,tanh,0.49530864197530866
6,0.05,256,0.0,tanh,0.4930864197530864
10,0.05,512,0.0,tanh,0.4928395061728395
26,0.02,512,0.0,tanh,0.4928395061728395
12,0.05,512,0.0001,tanh,0.49209876543209874
2,0.05,128,0.0,tanh,0.49135802469135803
1,0.05,128,0.0,relu,0.49037037037037035
25,0.02,512,0.0,relu,0.48987654320987656
31,0.02,1024,0.0001,relu,0.48814814814814816
27,0.02,512,0.0001,relu,0.48444444444444446
14,0.05,1024,0.0,tanh,0.482962962962963
16,0.05,1024,0.0001,tanh,0.4812345679012346
30,0.02,1024,0.0,tanh,0.48074074074074075
28,0.02,512,0.0001,tanh,0.4802469135802469
24,0.02,256,0.0001,tanh,0.4750617283950617
3,0.05,128,0.0001,relu,0.4748148148148148
22,0.02,256,0.0,tanh,0.47086419753086417
32,0.02,1024,0.0001,tanh,0.4691358024691358
21,0.02,256,0.0,relu,0.4651851851851852
18,0.02,128,0.0,tanh,0.4641975308641975
23,0.02,256,0.0001,relu,0.4580246913580247
20,0.02,128,0.0001,tanh,0.45654320987654323
17,0.02,128,0.0,relu,0.45111111111111113
19,0.02,128,0.0001,relu,0.41802469135802467
