trial,lr,hidden_dim,weight_decay,activation,best_val_acc
8,0.05,128,0.0001,tanh,0.5111111111111111
4,0.05,64,0.0001,tanh,0.5
6,0.05,128,0.0,tanh,0.49703703703703705
7,0.05,128,0.0001,relu,0.48592592592592593
5,0.05,128,0.0,relu,0.4849382716049383
2,0.05,64,0.0,tanh,0.482962962962963
3,0.05,64,0.0001,relu,0.4767901234567901
16,0.02,128,0.0001,tanh,0.4614814814814815
14,0.02,128,0.0,tanh,0.45925925925925926
15,0.02,128,0.0001,relu,0.4562962962962963
1,0.05,64,0.0,relu,0.4550617283950617
13,0.02,128,0.0,relu,0.4540740740740741
10,0.02,64,0.0,tanh,0.4461728395061728
12,0.02,64,0.0001,tanh,0.4202469135802469
11,0.02,64,0.0001,relu,0.4054320987654321
9,0.02,64,0.0,relu,0.39111111111111113
